Last Funding Amount,Last Funding Amount Currency (in USD),Number of Employees,Total Funding Amount,Total Funding Amount Currency (in USD),Number of Funding Rounds
52000000.0,52000000.0,4.0,96500000.0,96500000.0,4.0
25000000.0,25000000.0,4.0,33202069.0,33202069.0,3.0
23000000.0,24978252.0,4.0,47057093.0,47057093.0,5.0
28000000.0,28000000.0,2.0,37500000.0,37500000.0,4.0
41000000.0,41000000.0,2.0,41000000.0,41000000.0,1.0
10500000.0,10500000.0,2.0,24270000.0,24270000.0,5.0
22500000.0,22500000.0,2.0,40100000.0,40100000.0,7.0
22000000.0,22000000.0,3.0,36467748.0,36467748.0,8.0
28807900.51911778,22283265.22489702,4.0,43000000.0,43000000.0,5.0
32000000.0,32000000.0,3.0,93420000.0,93420000.0,6.0
2000000.0,2000000.0,2.6897739879700717,11607800.0,11607800.0,8.0
75000000.0,75000000.0,4.0,117500000.0,117500000.0,5.0
35000000.0,35000000.0,3.0,49000000.0,49000000.0,7.0
7600000.0,7600000.0,3.0,20600081.0,20600081.0,3.0
2200000.0,2383183.0,2.0,4800000.0,5359913.0,6.0
1100000.0,1100000.0,2.0,7370000.0,7370000.0,6.0
50000000.0,50000000.0,4.0,92000000.0,92000000.0,5.0
16000000.0,16000000.0,2.0,19465813.0,19465813.0,5.0
35000000.0,35000000.0,4.0,56800000.0,56800000.0,5.0
22000000.0,22000000.0,3.0,44636611.0,44636611.0,7.0
25000000.0,25000000.0,3.0,45600000.0,45600000.0,3.0
16000000.0,16000000.0,2.0,29100000.0,29100000.0,4.0
4950000.0,4950000.0,2.0,6351323.0,6351323.0,2.0
19000000.0,19000000.0,4.0,27600000.0,27600000.0,3.0
10000000.0,10000000.0,2.0,27600000.0,27600000.0,4.0
27499993.0,27499993.0,1.0,29499993.0,29499993.0,2.0
14638448.729705008,9162303.489265691,7.0,13500000.0,13500000.0,5.0
1100000.0,1100000.0,2.0,8700000.0,8700000.0,6.0
4200000.0,4200000.0,4.0,16900000.0,16900000.0,3.0
20000000.0,20000000.0,4.0,21500000.0,21500000.0,2.0
22000000.0,22000000.0,2.0,28900000.0,28900000.0,3.0
12000000.0,12000000.0,2.0,13920000.0,13920000.0,5.0
5000000.0,555283.0,2.0,5000000.0,555283.0,1.0
150000000.0,2157626.0,2.0,3857626.0,3857626.0,3.0
40000000.0,40000000.0,3.0,60000000.0,60000000.0,3.0
18000000.0,18000000.0,3.0,28000000.0,28000000.0,3.0
7000000.0,7000000.0,2.0,9320000.0,9320000.0,3.0
45000000.0,45000000.0,4.0,64000000.0,64000000.0,3.0
30000000.0,30000000.0,3.0,42600000.0,42600000.0,4.0
36560000.0,36560000.0,3.0,57800000.0,57800000.0,5.0
40000000.0,40000000.0,4.0,40000000.0,40000000.0,1.0
5700000.0,5700000.0,2.0,9700000.0,9700000.0,4.0
7000000.0,7000000.0,2.0,7000000.0,7000000.0,2.0
1000000.0,1000000.0,2.0,1000000.0,1000000.0,1.0
25000000.0,25000000.0,4.0,26000000.0,26000000.0,2.0
15000000.0,15000000.0,2.0,49400000.0,49400000.0,7.0
35000000.0,35000000.0,3.0,59900000.0,59900000.0,4.0
1000000.0,1000000.0,1.0,1000000.0,1000000.0,2.0
24000000.0,24000000.0,2.0,27670000.0,27670000.0,5.0
25000000.0,25000000.0,2.0,29200000.0,29200000.0,3.0
16000000.0,16000000.0,2.0,29300000.0,29300000.0,4.0
8500000.0,8500000.0,2.0,11500000.0,11500000.0,3.0
6500000.0,6500000.0,2.0,10920000.0,10920000.0,3.0
15000000.0,15000000.0,4.0,15317000.0,15317000.0,6.0
17000000.0,17000000.0,2.0,23122620.0,23122620.0,2.0
24000000.0,24000000.0,3.0,34600378.0,34600378.0,3.0
4000000.0,4000000.0,1.0,4000000.0,4000000.0,1.0
22000000.0,22000000.0,3.0,33493801.0,33493801.0,3.0
30000000.0,30000000.0,3.0,30000000.0,30000000.0,1.0
21000000.0,21000000.0,4.0,37000000.0,37000000.0,2.0
19300000.0,19300000.0,2.0,26745000.0,26745000.0,4.0
100000000.0,100000000.0,2.0,114000000.0,114000000.0,5.0
32000000.0,32000000.0,2.0,36120000.0,36120000.0,3.0
1300000.0,1300000.0,2.0,1540000.0,1540000.0,5.0
10000000.0,10000000.0,2.0,13000000.0,13000000.0,2.0
15000000.0,15000000.0,3.0,26720000.0,26720000.0,3.0
8000000.0,8000000.0,2.0,10200000.0,10200000.0,3.0
8000000.0,8000000.0,2.0,10000000.0,10000000.0,5.0
7000000.0,7000000.0,4.0,8720000.0,8720000.0,3.0
13000000.0,13000000.0,2.0,28500000.0,28500000.0,3.0
8000000.0,8000000.0,1.0,10516007.0,10516007.0,4.0
3000000.0,3000000.0,2.0,22535000.0,22535000.0,5.0
3800000.0,4109876.0,2.0,10549082.0,10549082.0,6.0
20000000.0,20000000.0,3.0,31600000.0,31600000.0,5.0
105000000.0,105000000.0,2.0,166000000.0,166000000.0,3.0
8250000.0,8250000.0,4.0,16600000.0,16600000.0,4.0
1500000.0,1500000.0,4.0,4940000.0,4940000.0,5.0
300000.0,300000.0,2.0,2220000.0,2220000.0,4.0
20250000.0,20250000.0,1.0,25250000.0,25250000.0,5.0
16199490.028534416,10607833.172007086,2.0,16750000.0,16750000.0,4.0
16300000.0,16300000.0,1.0,19350000.0,19350000.0,2.0
19457284.753518917,13624562.440319259,2.0,23532545.0,23532545.0,4.0
30000000.0,30000000.0,3.0,35519000.0,35519000.0,5.0
20000000.0,20000000.0,4.0,30000000.0,30000000.0,3.0
1000000.0,1000000.0,2.0,5050000.0,5050000.0,4.0
21000000.0,21000000.0,4.0,216000000.0,216000000.0,3.0
12300000.0,1219083.0,2.0,14700000.0,1487116.0,2.0
2155000.0,2155000.0,2.0,2155000.0,2155000.0,2.0
25700000.0,25700000.0,3.0,58225000.0,58225000.0,3.0
185000000.0,27543644.0,4.0,185000000.0,27543644.0,5.0
15000000.0,15000000.0,2.0,22840000.0,22840000.0,2.0
15839249.728806885,10274249.399075208,2.0,16000000.0,16000000.0,2.0
3600000.0,3600000.0,2.0,6600000.0,6600000.0,6.0
6300000.0,7972503.0,2.0,11972503.0,11972503.0,3.0
3500000.0,3500000.0,2.0,3500000.0,3500000.0,1.0
20000000.0,20000000.0,3.0,23750000.0,23750000.0,2.0
8000000.0,8000000.0,2.0,10800000.0,10800000.0,2.0
7091350.0,7091350.0,1.0,10101350.0,10101350.0,4.0
2500000.0,2500000.0,1.0,7500000.0,7500000.0,3.0
6000000.0,6000000.0,2.0,12700000.0,12700000.0,6.0
8000000.0,8000000.0,2.0,22000000.0,22000000.0,4.0
14900000.0,14900000.0,2.0,34900509.0,34900509.0,4.0
14746000.0,14746000.0,3.0,22971000.0,22971000.0,4.0
14000000.0,14000000.0,2.0,14000000.0,14000000.0,2.0
800000.0,800000.0,2.0,2670000.0,2670000.0,6.0
2200000.0,2200000.0,2.0,2200000.0,2200000.0,2.0
5500000.0,5500000.0,2.0,9500000.0,9500000.0,5.0
26000000.0,26000000.0,3.0,28500000.0,28500000.0,5.0
18000000.0,18000000.0,1.0,35000000.0,35000000.0,6.0
4000000.0,4000000.0,3.0,122583872.0,122583872.0,5.0
20000000.0,20000000.0,4.0,20000000.0,20000000.0,1.0
83500000.0,83500000.0,4.0,127000000.0,127000000.0,2.0
15000000.0,15000000.0,4.0,25000000.0,25000000.0,3.0
6000000.0,6000000.0,1.0,9031628.0,9031628.0,5.0
20000000.0,20000000.0,2.203185737579708,49805498.0,49805498.0,5.0
11600000.0,11600000.0,3.0,13272240.0,13272240.0,3.0
35000000.0,35000000.0,3.0,170000000.0,170000000.0,3.0
14000000.0,14000000.0,2.0,30500000.0,30500000.0,4.0
100000.0,100000.0,2.0,2700000.0,2700000.0,6.0
16000000.0,16000000.0,1.0,22000000.0,22000000.0,2.0
9750000.0,9750000.0,2.0,9750000.0,9750000.0,1.0
12000000.0,1332726.0,1.0,1720893.0,1720893.0,3.0
3700000.0,3700000.0,2.0,4820000.0,4820000.0,4.0
8500000.0,8500000.0,2.0,26581868.0,26581868.0,4.0
3300000.0,3300000.0,2.0,9000000.0,9000000.0,7.0
2100000.0,2100000.0,1.0,2573000.0,2573000.0,9.0
140000000.0,140000000.0,9.0,543605512.0,543605512.0,6.0
10000000.0,10000000.0,2.0,10000000.0,10000000.0,1.0
7000000.0,7000000.0,1.0,7120000.0,7120000.0,2.0
9300000.0,9300000.0,2.0,16900000.0,16900000.0,4.0
10000000.0,10000000.0,1.0,12825000.0,12825000.0,3.0
54000000.0,54000000.0,2.0,83999998.0,83999998.0,4.0
2500000.0,2500000.0,2.0,2500000.0,2500000.0,2.0
10500000.0,10500000.0,2.0,15371150.0,15371150.0,3.0
1100000.0,1100000.0,1.0,1900000.0,1900000.0,6.0
15999999.0,15999999.0,2.0,84999999.0,84999999.0,4.0
32000000.0,32000000.0,2.0,56000000.0,56000000.0,2.0
7000000.0,7000000.0,2.0,11400000.0,11400000.0,3.0
6000000.0,6000000.0,1.0,8051467.0,8051467.0,2.0
4000000.0,4000000.0,2.0,4000000.0,4000000.0,1.0
6014508.0,6014508.0,1.0,6054508.0,6054508.0,4.0
10053310.194716984,4916449.22726995,2.0,3954000.0,3954000.0,9.0
3000000.0,3000000.0,4.0,3749623.0,3749623.0,2.0
9000000.0,9000000.0,2.0,11500000.0,11500000.0,4.0
2000000.0,2000000.0,2.0,2000000.0,2000000.0,1.0
6000000.0,6000000.0,2.0,6000000.0,6000000.0,3.0
2500000.0,2500000.0,4.0,2500000.0,2500000.0,3.0
1890000.0,1890000.0,1.0,1965000.0,1965000.0,2.0
18000000.0,18000000.0,2.0,18000000.0,18000000.0,2.0
4000000.0,4000000.0,2.0,4000000.0,4000000.0,1.0
2840033.0,2840033.0,2.0,2840033.0,2840033.0,3.0
500000.0,500000.0,1.0,1475000.0,1475000.0,4.0
7000000.0,7000000.0,2.0,7000000.0,7000000.0,2.0
2000000.0,2000000.0,1.0,3050000.0,3050000.0,3.0
6900000.0,6900000.0,2.0,8900000.0,8900000.0,2.0
3500000.0,3500000.0,2.0,4060000.0,4060000.0,2.0
2500000.0,3104294.0,2.0,3560000.0,4246225.0,3.0
5500000.0,5500000.0,2.0,8075000.0,8075000.0,4.0
10075404.93310898,4936909.032030079,2.0,4000000.0,4000000.0,4.0
11612430.211957425,6360199.796569403,1.0,7200000.0,7200000.0,5.0
9162796.173792139,4091830.140586689,2.0,2100000.0,2100000.0,3.0
11218795.156121038,5995692.363099714,1.0,6380474.0,6380474.0,5.0
42500000.0,42500000.0,2.0,44500001.0,44500001.0,2.0
16000000.0,16000000.0,2.0,23219302.0,23219302.0,3.0
16319570.128443645,10719027.762986522,1.0,17000000.0,17000000.0,4.0
12000000.0,12000000.0,2.0,12000000.0,12000000.0,1.0
6000000.0,7894061.0,2.0,7500000.0,9765643.0,3.0
4000000.0,4734887.0,2.0,4000000.0,4734887.0,2.0
399999.0,399999.0,2.0,15399999.0,15399999.0,3.0
71429.0,81868.0,1.0,2781868.0,2781868.0,5.0
4000000.0,5051678.0,2.0,8176678.0,8176678.0,3.0
2500000.0,2500000.0,2.0,5020000.0,5020000.0,6.0
1250000.0,1250000.0,4.0,6951061.0,6951061.0,4.0
3000000.0,3389152.0,2.0,3000000.0,3389152.0,3.0
200000000.0,30238658.0,2.0,201000000.0,30388405.0,3.0
25137888.0,25137888.0,2.0,41562888.0,41562888.0,2.0
10000000.0,11970070.0,3.0,10800000.0,12817867.0,2.0
200000.0,200000.0,2.0,1375000.0,1375000.0,5.0
1800000.0,2254167.0,2.0,1800000.0,2254167.0,1.0
25000000.0,25000000.0,2.0,30000000.0,30000000.0,2.0
13000000.0,13000000.0,2.0,16750000.0,16750000.0,2.0
1012579.0,1012579.0,2.0,25429951.0,25429951.0,5.0
4991533.0,4991533.0,1.0,23291533.0,23291533.0,3.0
4500000.0,5870680.0,2.0,6870680.0,6870680.0,3.0
